Column1;Mkt-RF;SMB;HML;RF
192607;296;-256;-243;22
192608;264;-117;382;25
192609;36;-140;13;23
192610;-324;-9;70;32
192611;253;-10;-51;31
192612;262;-3;-5;28
192701;-6;-37;454;25
192702;418;4;294;26
192703;13;-165;-261;30
192704;46;30;81;25
192705;544;153;473;30
192706;-234;59;-173;26
192707;726;-325;-114;30
192708;197;-69;-374;28
192709;476;-363;-63;21
192710;-431;212;-433;25
192711;658;272;-27;21
192712;209;97;-113;22
192801;-68;426;-75;25
192802;-170;-206;-65;33
192803;881;-26;-122;29
192804;423;398;344;22
192805;152;285;-327;32
192806;-485;-352;-3;31
192807;62;-132;-50;32
192808;668;-206;-215;32
192809;288;241;86;27
192810;133;222;-216;41
192811;1181;-178;270;38
192812;36;-86;-65;6
192901;466;-356;-124;34
192902;-34;-38;166;36
192903;-89;-471;158;34
192904;143;-97;59;36
192905;-639;-537;-142;44
192906;970;-217;-279;52
192907;446;-388;271;33
192908;818;-959;13;40
192909;-547;119;-65;35
192910;-2012;-401;778;46
192911;-1274;-172;505;37
192912;133;-450;-54;37
193001;561;355;-96;14
193002;250;19;20;30
193003;710;341;33;35
193004;-206;-35;-35;21
193005;-166;-201;-73;26
193006;-1627;-338;233;27
193007;412;-28;-175;20
193008;30;-210;-61;9
193009;-1275;-221;-496;22
193010;-878;-12;-138;9
193011;-304;223;-366;13
193012;-783;-460;-525;14
193101;624;345;712;15
193102;1088;359;192;4
193103;-643;298;-344;13
193104;-998;-445;-382;8
193105;-1324;535;-657;9
193106;1390;-532;1129;8
193107;-662;142;-211;6
193108;41;-195;-147;3
193109;-2913;54;-677;3
193110;804;-187;170;10
193111;-908;431;-504;17
193112;-1353;-55;-885;12
193201;-158;393;903;23
193202;546;-278;-146;23
193203;-1121;227;-232;16
193204;-1796;145;143;11
193205;-2051;391;-298;6
193206;-70;33;530;2
193207;3384;-459;3561;3
193208;3706;1341;3424;3
193209;-294;-208;-736;3
193210;-1317;-256;-1033;2
193211;-588;200;-1311;2
193212;440;-864;-772;1
193301;125;63;636;1
193302;-1524;-258;-295;-3
193303;329;379;754;4
193304;3885;307;1965;10
193305;2143;3656;1919;4
193306;1311;842;-178;2
193307;-963;-105;327;2
193308;1205;-539;300;3
193309;-1065;-40;-1174;2
193310;-836;-20;-857;1
193311;997;-647;232;2
193312;183;63;-156;2
193401;1260;1269;1559;5
193402;-250;510;200;2
193403;9;251;-270;2
193404;-179;273;-373;1
193405;-725;-29;-589;1
193406;264;-223;-296;1
193407;-1096;-695;-1070;1
193408;558;537;9;1
193409;-23;-152;-120;1
193410;-166;124;-508;1
193411;833;648;-215;1
193412;36;306;-314;1
193501;-345;107;-190;1
193502;-194;37;-744;2
193503;-368;-359;-512;1
193504;906;-147;447;1
193505;347;-334;265;1
193506;593;-257;-169;1
193507;751;188;693;1
193508;265;620;608;1
193509;263;153;-407;1
193510;703;272;-237;1
193511;488;454;1206;2
193512;456;17;95;1
193601;689;523;1034;1
193602;249;95;451;1
193603;99;69;-144;2
193604;-814;-606;-215;2
193605;519;91;261;2
193606;240;-320;-120;3
193607;667;100;240;1
193608;99;60;382;2
193609;98;308;90;1
193610;712;-243;247;2
193611;327;877;-121;1
193612;21;396;430;0
193701;335;434;261;1
193702;109;105;483;2
193703;-27;-169;650;1
193704;-736;-383;-366;3
193705;-83;-68;-348;6
193706;-421;-376;-333;3
193707;891;89;81;3
193708;-486;44;-225;2
193709;-1361;-698;-457;4
193710;-961;41;-155;2
193711;-831;-360;15;2
193712;-424;-774;-40;0
193801;49;484;-161;0
193802;584;40;-202;0
193803;-2382;-434;-354;-1
193804;1451;646;23;1
193805;-383;-251;-27;0
193806;2387;430;32;0
193807;734;664;220;-1
193808;-267;-245;-472;0
193809;81;-273;-162;2
193810;780;581;503;1
193811;-172;-257;-122;-6
193812;419;-182;53;0
193901;-596;-155;-394;-1
193902;351;63;295;1
193903;-1199;-475;-831;-1
193904;-18;167;-30;0
193905;680;280;49;1
193906;-531;-101;-542;1
193907;1024;432;-3;0
193908;-668;-461;-242;-1
193909;1688;2024;2222;1
193910;-53;-1;-489;0
193911;-362;-507;-646;0
193912;303;79;-406;0
194001;-241;21;-81;0
194002;144;251;-33;0
194003;205;125;-127;0
194004;22;392;-13;0
194005;-2195;-666;-369;-2
194006;667;-213;462;0
194007;316;101;-74;1
194008;219;-11;56;-1
194009;239;322;-113;0
194010;302;28;464;0
194011;-161;194;12;0
194012;69;-215;-89;0
194101;-417;100;383;-1
194102;-143;-156;89;-1
194103;84;10;304;1
194104;-546;-168;341;-1
194105;139;-65;60;0
194106;583;132;59;0
194107;587;571;725;3
194108;-17;-42;-110;1
194109;-87;-99;-28;1
194110;-525;-202;163;0
194111;-192;-121;-64;0
194112;-487;-299;-594;1
194201;79;753;1010;2
194202;-246;172;-113;1
194203;-658;177;-62;1
194204;-437;-60;209;1
194205;594;-305;-265;3
194206;269;-122;54;2
194207;351;-15;240;3
194208;180;-9;135;3
194209;261;63;235;3
194210;682;175;639;3
194211;15;-150;-421;3
194212;512;-251;58;3
194301;713;880;818;3
194302;615;475;640;3
194303;601;499;548;3
194304;81;205;582;3
194305;574;435;325;3
194306;182;-102;-70;3
194307;-477;-239;-229;3
194308;130;-60;-43;3
194309;240;129;143;3
194310;-115;58;164;3
194311;-591;-165;-402;3
194312;636;334;324;3
194401;174;255;216;3
194402;37;-10;84;3
194403;246;173;343;2
194404;-169;-137;-114;3
194405;507;168;104;3
194406;549;401;175;3
194407;-149;58;-42;3
194408;157;233;-149;3
194409;1;49;-116;2
194410;16;-15;-33;3
194411;171;36;238;3
194412;403;225;591;2
194501;201;246;67;3
194502;623;155;434;2
194503;-389;-160;-174;2
194504;780;32;324;3
194505;173;152;36;3
194506;39;312;421;2
194507;-217;-152;-262;3
194508;620;150;-427;3
194509;477;170;42;3
194510;389;238;213;3
194511;539;431;396;2
194512;120;210;-228;3
194601;624;391;248;3
194602;-583;-71;-146;3
194603;587;29;-54;3
194604;423;235;32;3
194605;393;146;128;3
194606;-389;-158;-39;3
194607;-269;-207;7;3
194608;-644;-184;55;3
194609;-1017;-440;-192;3
194610;-144;10;346;3
194611;-1;-44;147;3
194612;496;8;-136;3
194701;125;220;-73;3
194702;-108;68;15;3
194703;-167;-162;61;3
194704;-480;-396;85;3
194705;-97;-326;33;3
194706;529;-30;-59;3
194707;414;143;282;3
194708;-174;32;18;3
194709;-54;164;136;6
194710;247;51;7;6
194711;-197;-171;110;6
194712;300;-246;371;8
194801;-393;250;139;7
194802;-438;-172;7;7
194803;807;14;450;9
194804;365;-165;411;8
194805;730;91;-127;8
194806;-10;-182;281;9
194807;-509;-33;14;8
194808;25;-111;28;9
194809;-297;-123;-171;4
194810;596;-150;58;4
194811;-930;-60;-413;4
194812;326;-282;-194;4
194901;23;177;123;10
194902;-293;-190;-86;9
194903;404;250;129;10
194904;-187;-89;-113;9
194905;-294;-79;-237;10
194906;10;-91;-165;10
194907;554;55;37;9
194908;260;20;-55;9
194909;309;100;19;9
194910;314;104;-48;9
194911;182;-102;-96;8
194912;513;206;177;9
195001;170;333;12;9
195002;148;3;-79;9
195003;126;-144;-281;10
195004;394;194;130;9
195005;431;-210;46;10
195006;-594;-234;-70;10
195007;136;69;1356;10
195008;485;76;-150;10
195009;481;49;-107;10
195010;-18;-47;130;12
195011;276;-89;333;11
195012;554;147;736;11
195101;570;176;364;13
195102;141;8;-285;10
195103;-215;-77;-410;11
195104;486;-145;327;13
195105;-234;0;-137;12
195106;-262;-206;-375;12
195107;694;-199;206;13
195108;427;99;-13;13
195109;70;187;63;12
195110;-253;-22;23;16
195111;57;-32;-6;11
195112;333;-226;-159;12
195201;145;-61;155;15
195202;-262;82;-61;12
195203;444;-299;217;11
195204;-497;46;-10;12
195205;320;-100;4;13
195206;383;-164;124;15
195207;91;-40;-35;15
195208;-76;115;1;15
195209;-203;111;-152;16
195210;-66;-105;-46;14
195211;594;-72;97;10
195212;293;-148;19;16
195301;-34;361;132;16
195302;-27;215;-9;14
195303;-143;-22;-85;18
195304;-283;30;157;16
195305;52;-7;23;17
195306;-189;-187;-47;18
195307;240;-100;-22;15
195308;-452;29;-353;17
195309;20;-84;-244;16
195310;460;-135;-25;13
195311;283;-130;-15;8
195312;3;-85;-284;13
195401;513;48;344;11
195402;167;-19;-29;7
195403;365;-54;-150;8
195404;427;-344;-34;9
195405;309;41;245;5
195406;107;38;1;6
195407;499;106;413;5
195408;-234;269;-138;5
195409;639;-253;68;9
195410;-167;62;67;7
195411;938;-262;440;6
195412;548;212;566;8
195501;60;36;214;8
195502;302;159;58;9
195503;-16;-74;197;10
195504;311;-162;68;10
195505;93;-28;-96;14
195506;655;-465;184;10
195507;190;-117;35;10
195508;21;-44;72;16
195509;-36;35;-99;16
195510;-268;148;-15;18
195511;703;-222;33;17
195512;149;216;-230;18
195601;-303;37;95;22
195602;377;-98;-43;19
195603;664;-209;-46;15
195604;28;1;-24;19
195605;-520;145;-131;23
195606;348;-148;-113;20
195607;484;-166;-4;22
195608;-318;189;-74;17
195609;-514;157;176;18
195610;52;-10;-6;25
195611;36;-21;178;20
